index,sourceArray,name,type,muscleGroup,equipment,tags,description,clientDescription,isPublic
"11","exercises","Remo con mancuerna","STRENGTH","Espalda","Mancuerna","remo|espalda|mancuerna|unilateral|dorsal_ancho|romboides","Variante unilateral del remo que permite trabajar cada lado de la espalda de forma independiente, corrigiendo desequilibrios musculares. Trabaja el dorsal ancho, romboides, trapecio medio y bíceps. Al ser unilateral, permite un mayor rango de movimiento y una contracción más profunda del músculo.","Colocá una mano y la rodilla del mismo lado sobre un banco plano. Con la otra mano agarrá una mancuerna. Mantené la espalda recta y paralela al piso. Tirá la mancuerna hacia tu cadera llevando el codo hacia arriba y atrás, apretando el omóplato del lado que trabaja. Bajá controladamente. Repetí todas las repeticiones de un lado antes de cambiar. Mantené el core activado para estabilizar.","true"
"12","exercises","Remo en máquina","STRENGTH","Espalda","Máquina","remo|espalda|maquina|compound|dorsal_ancho|romboides","Ejercicio compuesto realizado en máquina de remo sentado que trabaja el dorsal ancho, romboides, trapecio medio y bíceps. Al tener el pecho apoyado en un soporte, elimina la posibilidad de usar impulso del torso y aísla completamente el trabajo de la espalda. Es ideal para principiantes o para series de alto volumen donde la fatura postural puede ser un factor limitante.","Sentate en la máquina ajustando el soporte de pecho a tu altura. Agarrá las manijas con las palmas hacia abajo o hacia adentro según la máquina. Tirá las manijas hacia atrás apretando los omóplatos juntos y llevando los codos hacia atrás cerca del cuerpo. Mantené el pecho bien apoyado en el soporte durante todo el movimiento. Bajá controladamente hasta extender los brazos.","true"
"13","exercises","Peso muerto","STRENGTH","Espalda","Barra","peso_muerto|espalda|barra|compound|isquiotibiales|gluteos|core","Ejercicio compuesto considerado uno de los tres grandes levantamientos de fuerza (junto con sentadilla y press de banca). Trabaja la cadena posterior completa: erectores espinales, glúteos, isquiotibiales, trapecio, dorsal ancho y core. Consiste en levantar una barra desde el piso hasta la posición de pie erguido. Es fundamental para desarrollar fuerza funcional total.","Parate con los pies a la altura de los hombros y la barra sobre los pies (casi tocando las espinillas). Agachate y agarrá la barra con las manos un poco más anchas que los hombros. Mantené la espalda recta, el pecho arriba y los hombros por encima de la barra. Empujá el piso con los pies extendiendo caderas y rodillas al mismo tiempo hasta quedar de pie erguido. Bajá controladamente siguiendo el mismo patrón. La barra debe mantenerse cerca del cuerpo en todo momento.","true"
"14","exercises","Hiperextensiones","STRENGTH","Espalda","Banco","hiperextensiones|espalda|banco|aislado|erectores_espinales|gluteos","Ejercicio de aislamiento para los erectores espinales y glúteos que consiste en extender el torso desde una posición de flexión hacia adelante. Se realiza en un banco de hiperextensiones con las caderas apoyadas en el borde. Es excelente para fortalecer la zona lumbar, prevenir lumbalgias y mejorar la postura erguida.","Colocá las caderas en el borde del banco de hiperextensiones y asegurate de que los tobillos queden bien sujetos. Cruzá los brazos sobre el pecho o poné las manos detrás de la cabeza. Bajá el torso hacia abajo desde las caderas hasta sentir un estiramiento en los isquiotibiales y la espalda baja. Levantá el torso extendiendo la espalda hasta que quede alineada con las piernas. No hiperextiendas más allá de la línea neutral.","true"
"15","exercises","Press militar","STRENGTH","Hombros","Barra","press|hombros|barra|compound|deltoides|triceps","Ejercicio compuesto fundamental para el desarrollo de los hombros que trabaja el deltoides anterior y medio, con participación del tríceps y el core estabilizador. Consiste en empujar una barra desde la altura de los hombros hasta la extensión completa de brazos por encima de la cabeza. Puede realizarse de pie (más funcional, requiere más estabilidad) o sentado (más aislado, permite mayor carga).","De pie o sentado con la barra a la altura de los hombros y los codos ligeramente por delante del cuerpo. Apretá el core y el glúteo para estabilizar. Empujá la barra hacia arriba en línea recta hasta extender completamente los brazos por encima de la cabeza. Bajá controladamente hasta la posición inicial. No arqueés la espalda hacia atrás al empujar. De pie, evitá flexionar las rodillas para ayudar (eso sería un push press).","true"
"16","exercises","Press con mancuernas","STRENGTH","Hombros","Mancuernas","press|hombros|mancuernas|compound|deltoides|triceps","Variante del press militar realizada con mancuernas que permite un rango de movimiento mayor y una trayectoria más natural para cada hombro. Trabaja el deltoides anterior y medio, tríceps y core estabilizador. Al ser unilateral, ayuda a corregir desequilibrios entre ambos lados y permite rotar las muñecas para una posición más cómoda.","Sentado en un banco con respaldo, sostené una mancuerna en cada mano a la altura de los hombros con las palmas hacia adelante. Apretá el core contra el respaldo. Empujá las mancuernas hacia arriba hasta que casi se toquen por encima de la cabeza. Bajá controladamente hasta la posición inicial. Permití que las mancuernas se acerquen ligeramente al centro en la parte superior para una trayectoria natural. No rebotes en la parte inferior.","true"
"17","exercises","Elevaciones laterales","STRENGTH","Hombros","Mancuernas","elevaciones|hombros|mancuernas|aislado|deltoides_medio|abduccion","Ejercicio de aislamiento para el deltoides medio (porción lateral del hombro) que consiste en elevar los brazos lateralmente hasta la altura de los hombros. Es fundamental para desarrollar la amplitud y el redondeo del hombro, creando la silueta de V en el torso. El deltoides medio es el responsable de la abducción del brazo.","De pie con mancuernas a los costados del cuerpo y las palmas mirando hacia adentro. Mantené un leve flexión en los codos (como si abrazaras un barril gigante). Elevá ambos brazos lateralmente simultáneamente hasta que queden paralelos al piso (altura de los hombros). Bajá lentamente sin dejar que las mancuernas choquen contra los muslos. No uses el impulso del cuerpo ni subas los hombros (encogimiento). El movimiento debe ser lento y controlado.","true"
"18","exercises","Elevaciones frontales","STRENGTH","Hombros","Mancuernas","elevaciones|hombros|mancuernas|aislado|deltoides_anterior|flexion","Ejercicio de aislamiento para el deltoides anterior (porción frontal del hombro) que consiste en elevar los brazos hacia adelante. El deltoides anterior ya trabaja intensamente en ejercicios compuestos como press de banca y press militar, por lo que este ejercicio suele usarse como complementario o en rutinas donde se busca un desarrollo equilibrado del hombro.","De pie con mancuernas frente a los muslos y las palmas mirando hacia abajo. Mantené los codos ligeramente flexionados. Elevá un brazo hacia adelante hasta la altura del hombro. Bajá controladamente y alterná con el otro brazo. O podés hacer ambos brazos simultáneamente. No balances el cuerpo ni uses impulso. El deltoides anterior ya trabaja mucho en press de banca, así que no sobrecargues este ejercicio.","true"
"19","exercises","Pájaro","STRENGTH","Hombros","Mancuernas","pajaro|hombros|mancuernas|aislado|deltoides_posterior|omoplatos","Ejercicio de aislamiento para el deltoides posterior (porción trasera del hombro) y los romboides. Consiste en elevar los brazos lateralmente desde una posición inclinada hacia adelante. El deltoides posterior es el músculo del hombro más débil en la mayoría de las personas y el más propenso a desequilibrios, por lo que este ejercicio es crucial para la salud del hombro y una buena postura.","Inclinate hacia adelante desde las caderas hasta que el torso quede casi paralelo al piso. Sostené una mancuerna en cada mano con los brazos colgando y las palmas enfrentadas. Con los codos ligeramente flexionados, elevá ambos brazos lateralmente hacia los lados apretando los omóplatos juntos. Bajá lentamente. Sentí la contracción en la parte posterior del hombro. No levantes el torso ni uses impulso. Este es un ejercicio ligero, usá pesos moderados.","true"
"20","exercises","Face pull","STRENGTH","Hombros","Polea","face_pull|hombros|polea|aislado|deltoides_posterior|rotadores|postura","Ejercicio de aislamiento realizado en polea que trabaja el deltoides posterior, rotadores externos del hombro, romboides y trapecio medio. Es uno de los ejercicios más importantes para la salud del hombro, ya que fortalece los músculos que contrarrestan los desequilibrios causados por demasiado trabajo de press y pectorales. Es fundamental para prevenir lesiones de manguito rotador.","Parate frente a una polea a la altura de la cara con una cuerda doble. Agarrá los extremos de la cuerda con las palmas hacia abajo. Tirá la cuerda hacia tu cara separando los codos y llevándolos hacia atrás. Al final del movimiento, rotá las muñecas hacia arriba como si quisieras mostrar los bíceps. Apretá los omóplatos juntos. Volvé lentamente. Mantené los codos altos durante todo el movimiento. Este ejercicio es clave para la salud de tus hombros, no lo omitas.","true"
"21","exercises","Curl con barra","STRENGTH","Bíceps","Barra","curl|biceps|barra|aislado|flexion|braquial","Ejercicio de aislamiento clásico para el bíceps braquial que consiste en flexionar los codos llevando una barra hacia los hombros. También trabaja el braquial y el braquiorradial. Es el ejercicio fundamental para desarrollar masa y fuerza en los bíceps, permitiendo manejar cargas mayores que con mancuernas debido a la estabilidad bilateral.","De pie con la barra frente a los muslos y las palmas hacia afuera (agarre supino). Mantené los codos pegados al cuerpo y los hombros quietos. Flexioná los codos llevando la barra hacia los hombros. Apretá los bíceps en la parte superior. Bajá controladamente hasta extender casi por completo los brazos (sin bloquear los codos). No balancees el cuerpo ni uses el impulso de la espalda. El movimiento debe ser estricto.","true"
"22","exercises","Curl con mancuernas","STRENGTH","Bíceps","Mancuernas","curl|biceps|mancuernas|aislado|flexion|braquial","Variante del curl con barra realizada con mancuernas que permite un rango de movimiento mayor y una trayectoria más natural. Al ser unilateral, permite corregir desequilibrios entre ambos brazos. También permite variar la rotación de la muñeca durante el movimiento (supinación), lo que aumenta la activación del bíceps en la parte superior del recorrido.","De pie con una mancuerna en cada mano a los costados del cuerpo y las palmas mirando hacia adentro. Mantené los codos pegados al cuerpo. Flexioná los codos alternando brazos o simultáneamente, rotando las muñecas hacia afuera (palmas hacia arriba) a medida que subís. Apretá los bíceps en la parte superior. Bajá controladamente. No balancees el cuerpo. La rotación de la muñeca aumenta la contracción del bíceps.","true"
"23","exercises","Curl martillo","STRENGTH","Bíceps","Mancuernas","curl|biceps|mancuernas|martillo|aislado|braquial|braquiorradial","Variante del curl realizada con agarre neutro (palmas enfrentadas) que enfatiza el trabajo del músculo braquial y el braquiorradial, además del bíceps braquial. El braquial se encuentra debajo del bíceps y su desarrollo empuja el bíceps hacia afuera, creando una apariencia más alta y completa del brazo. Es excelente para el desarrollo total del brazo.","De pie con mancuernas a los costados y las palmas enfrentadas (como si sostuvieras un martillo). Mantené los codos pegados al cuerpo. Flexioná los codos llevando las mancuernas hacia los hombros sin rotar las muñecas. Apretá los bíceps y el braquial en la parte superior. Bajá controladamente. Este ejercicio desarrolla el braquial, el músculo que está debajo del bíceps y que le da altura y grosor al brazo.","true"
"24","exercises","Curl en predicador","STRENGTH","Bíceps","Barra","curl|biceps|barra|predicador|aislado|cabeza_corta","Ejercicio de aislamiento para el bíceps realizado en un banco predicador que apoya los brazos en una almohadilla inclinada. Al fijar los brazos, elimina cualquier posibilidad de usar impulso del cuerpo y aísla completamente el trabajo del bíceps. Enfatiza la porción distal (cabeza corta) del bíceps, desarrollando el grosor y la altura del pico del bíceps.","Sentate en el banco predicador y apoyá la parte posterior de los brazos en la almohadilla inclinada. Agarrá la barra con las palmas hacia arriba. Flexioná los codos llevando la barra hacia los hombros. Bajá hasta extender casi por completo los brazos (sin bloquear los codos). La almohadilla evita que uses impulso, así que usá un peso que puedas controlar. Sentí el estiramiento en la parte baja del bíceps al bajar.","true"
"25","exercises","Curl concentrado","STRENGTH","Bíceps","Mancuerna","curl|biceps|mancuerna|concentrado|aislado|pico","Ejercicio de máximo aislamiento para el bíceps que consiste en apoyar el codo en el interior del muslo para eliminar cualquier posibilidad de usar impulso. Fue popularizado por Arnold Schwarzenegger y es excelente para desarrollar el pico del bíceps y mejorar la conexión mente-músculo. Permite una contracción máxima y un estiramiento profundo del bíceps.","Sentate en un banco con las piernas abiertas y una mancuerna en una mano. Apoyá el codo en el interior del muslo del mismo lado, cerca de la rodilla. Bajá la mancuerna hasta sentir un estiramiento completo en el bíceps. Flexioná el codo llevando la mancuerna hacia el hombro apretando fuerte el bíceps en la parte superior. Bajá lentamente. Este ejercicio es puro aislamiento: no hay forma de hacer trampa. Usá un peso moderado y enfocate en la contracción.","true"
"26","exercises","Press francés","STRENGTH","Tríceps","Barra","press_frances|triceps|barra|aislado|extension|cabeza_larga","Ejercicio de aislamiento para el tríceps que consiste en extender los codos desde una posición flexionada hacia la frente. Trabaja principalmente la cabeza larga del tríceps (la porción interna que da grosor al brazo visto de frente). Es uno de los mejores ejercicios para desarrollar masa en la parte posterior del brazo, pero requiere técnica cuidadosa para proteger los codos.","Acostate en banco plano con la barra sostenida sobre el pecho con las manos a la altura de los hombros (agarre cerrado). Mantené los codos apuntando hacia adelante y fijos en su posición. Bajá la barra hacia la frente flexionando solo los codos. Extendé los brazos para volver a la posición inicial apretando los tríceps. Los codos no deben abrirse hacia los lados. No bajes la barra detrás de la cabeza (eso es un skullcrusher). Usá un peso que puedas controlar para proteger los codos.","true"
"27","exercises","Extensiones en polea","STRENGTH","Tríceps","Polea","extensiones|triceps|polea|aislado|cabeza_lateral|cabeza_medial","Ejercicio de aislamiento para el tríceps realizado en polea alta que trabaja las tres cabezas del tríceps, con énfasis en la cabeza lateral y medial. La resistencia constante de la polea mantiene tensión en el músculo durante todo el recorrido. Puede realizarse con cuerda, barra recta o barra en V según la variante deseada.","Parate frente a una polea alta con una cuerda o barra. Agarrá con las palmas hacia abajo y los codos pegados al cuerpo a la altura de los hombros. Flexioná los codos llevando las manos hacia la frente. Extendé los brazos hacia abajo apretando fuerte los tríceps en la parte inferior. Mantené los codos fijos y pegados al cuerpo durante todo el movimiento. No dejes que los codos se abran hacia los lados. Con la cuerda, separá los extremos al final para una mayor contracción.","true"
"28","exercises","Fondos","STRENGTH","Tríceps","Paralelas","fondos|triceps|paralelas|compound|peso_corporal","Ejercicio compuesto de peso corporal que trabaja intensamente el tríceps braquial, con participación del pectoral mayor y deltoides anterior. A diferencia de los fondos para pecho, aquí el torso se mantiene vertical para enfatizar el trabajo del tríceps. Es uno de los ejercicios más efectivos para desarrollar fuerza y masa en la parte posterior del brazo.","Colgate de las paralelas con los brazos extendidos y el torso vertical (no inclinado hacia adelante). Bajá flexionando los codos hasta que los hombros estén ligeramente por debajo de los codos o hasta sentir un buen estiramiento en el tríceps. Subí empujando con los tríceps hasta extender los brazos. Mantené el torso vertical durante todo el movimiento. Si es muy difícil, usá una máquina asistida o bandas elásticas. No rebotes en la parte inferior.","true"
"29","exercises","Patada de tríceps","STRENGTH","Tríceps","Mancuerna","patada|triceps|mancuerna|aislado|extension|cabeza_larga","Ejercicio de aislamiento unilateral para el tríceps que consiste en extender el brazo hacia atrás desde una posición flexionada. Trabaja principalmente la cabeza larga del tríceps (la porción interna que corre por debajo del brazo). Al ser unilateral, permite corregir desequilibrios entre ambos brazos y lograr una contracción más profunda.","Inclinate hacia adelante apoyando una mano y la rodilla del mismo lado en un banco. Con la otra mano agarrá una mancuerna con el codo doblado a 90 grados y el brazo pegado al cuerpo. Extendé el brazo hacia atrás apretando el tríceps hasta que el brazo quede casi paralelo al piso. Bajá lentamente hasta la posición inicial. Mantené el codo fijo y pegado al cuerpo. No dejes que el codo se abra hacia afuera. Repetí todas las repeticiones de un lado antes de cambiar.","true"
"30","exercises","Sentadilla","STRENGTH","Cuádriceps","Barra","sentadilla|piernas|barra|compound|cuadriceps|gluteos|core","Ejercicio compuesto considerado el rey de los ejercicios de piernas. Trabaja los cuádriceps, glúteos, isquiotibiales, core y toda la cadena posterior. Consiste en bajar el cuerpo flexionando rodillas y caderas hasta que los muslos queden paralelos al suelo o más abajo. Es fundamental para desarrollar fuerza funcional, masa muscular y potencia atlética.","Colocá la barra sobre los trapecios (no sobre el cuello). Parate con los pies a la altura de los hombros o un poco más anchos, con las puntas ligeramente hacia afuera. Mantené el pecho arriba, la espalda recta y el core apretado. Bajá flexionando rodillas y caderas al mismo tiempo, como si te sentaras en una silla invisible. Bajá hasta que los muslos queden paralelos al suelo o más abajo si tu movilidad lo permite. Empujá el piso con los talones para subir. No dejes que las rodillas se caven hacia adentro.","true"
"31","exercises","Sentadilla frontal","STRENGTH","Cuádriceps","Barra","sentadilla|piernas|barra|frontal|cuadriceps|core","Variante de la sentadilla donde la barra se apoya sobre los hombros delante del cuello (posición de clean). Esto obliga a mantener el torso más vertical, lo que enfatiza el trabajo de los cuádriceps y el core estabilizador. Requiere mayor movilidad de tobillos, rodillas y hombros que la sentadilla tradicional. Es muy usada en halterofilia y CrossFit.","Colocá la barra sobre los hombros delante del cuello, apoyándola en los deltoides anteriores. Cruzá los brazos sobre la barra o usá el agarre de clean si tu movilidad lo permite. Parate con los pies a la altura de los hombros. Mantené el torso lo más vertical posible y el core muy apretado. Bajá en sentadilla manteniendo los codos altos. Bajá hasta que los muslos queden paralelos al suelo. Empujá con los talones para subir. Si no podés mantener los codos altos, trabajá en tu movilidad de hombros y muñecas antes de cargar peso.","true"
"32","exercises","Prensa","STRENGTH","Cuádriceps","Máquina","prensa|piernas|maquina|compound|cuadriceps|gluteos","Ejercicio compuesto realizado en máquina de prensa de piernas que trabaja los cuádriceps, glúteos e isquiotibiales. Al ser una máquina guiada, elimina la necesidad de equilibrio y estabilización, permitiendo manejar cargas mayores que en la sentadilla libre. Es ideal para principiantes, rehabilitación o para series de alto volumen donde la fatiga del core puede ser un factor limitante.","Sentate en la máquina de prensa y ajustá el respaldo y el asiento para que tus rodillas queden a 90 grados en la posición inicial. Colocá los pies en la plataforma a la altura de los hombros o un poco más anchos. Desenganchá el seguro. Bajá la plataforma flexionando rodillas y caderas hasta que los muslos se acerquen al pecho. Empujá la plataforma extendiendo las piernas sin bloquear completamente las rodillas. No levantes el glúteo del asiento. Si sentís dolor lumbar, ajustá el respaldo o reducí el rango de movimiento.","true"
"33","exercises","Extensión de cuádriceps","STRENGTH","Cuádriceps","Máquina","extensiones|cuadriceps|maquina|aislado|vasto_medial|vasto_lateral","Ejercicio de aislamiento para los cuádriceps realizado en máquina específica. Consiste en extender las rodillas desde una posición flexionada hasta enderezar completamente las piernas. Trabaja los cuatro componentes del cuádriceps: recto femoral, vasto medial, vasto lateral y vasto intermedio. Es excelente para definir y esculpir los cuádriceps, especialmente el vasto medial (lágrima del cuádriceps).","Sentate en la máquina de extensiones y ajustá el respaldo para que tu espalda quede bien apoyada. Colocá los tobillos debajo del rodillo acolchado. Agarrá los agarres laterales. Extendé las rodillas hasta enderezar completamente las piernas apretando los cuádriceps en la parte superior. Bajá lentamente sin dejar que el peso toque o sin relajar el músculo en la parte inferior. No uses impulso del torso. Este ejercicio es excelente para definir los cuádriceps.","true"
"34","exercises","Curl femoral","STRENGTH","Femoral","Máquina","curl|femoral|maquina|aislado|isquiotibiales|flexion","Ejercicio de aislamiento para los isquiotibiales (músculos posteriores del muslo) que consiste en flexionar las rodillas desde una posición extendida. Trabaja los tres componentes del grupo isquiotibial: semimembranoso, semitendinoso y bíceps femoral. Es fundamental para equilibrar el desarrollo de las piernas, ya que la mayoría de los ejercicios de piernas enfatizan los cuádriceps.","Acostate boca abajo en la máquina de curl femoral. Ajustá el rodillo acolchado para que quede justo por encima de los talones. Agarrá los agarres frontales. Flexioná las rodillas llevando los talones hacia los glúteos apretando los isquiotibiales. Bajá controladamente hasta extender casi por completo las piernas (sin bloquear las rodillas). No levantes las caderas del banco. Sentí la contracción en la parte posterior del muslo.","true"
"35","exercises","Peso muerto rumano","STRENGTH","Femoral","Barra","peso_muerto|femoral|barra|rumano|isquiotibiales|gluteos|erectores","Variante del peso muerto que enfatiza el trabajo de los isquiotibiales y glúteos manteniendo las rodillas casi extendidas durante todo el movimiento. A diferencia del peso muerto convencional, el rumano no empieza desde el piso sino desde la posición de pie, y el movimiento es una flexión de caderas con mínima flexión de rodillas. Es uno de los mejores ejercicios para desarrollar fuerza y flexibilidad en la cadena posterior.","De pie con la barra frente a los muslos y los pies a la altura de los hombros. Mantené las rodillas ligeramente flexionadas (casi extendidas) durante todo el ejercicio. Inclinate hacia adelante desde las caderas (no desde la cintura) manteniendo la espalda recta y neutra. Bajá la barra por la parte anterior de las piernas hasta sentir un estiramiento intenso en los isquiotibiales (generalmente a la altura de las rodillas o un poco más abajo). Volvé a la posición de pie empujando las caderas hacia adelante y apretando los glúteos. No redondeés la espalda.","true"
"36","exercises","Hip thrust","STRENGTH","Glúteos","Barra","hip_thrust|gluteos|barra|compound|potencia|cadena_posterior","Ejercicio compuesto diseñado específicamente para maximizar la activación de los glúteos. Consiste en empujar las caderas hacia arriba desde una posición sentada con la espalda apoyada en un banco. Es considerado el ejercicio más efectivo para el desarrollo de glúteos, superando incluso a la sentadilla en activación electromiográfica del glúteo mayor. También trabaja los isquiotibiales y el core.","Sentate en el piso con la espalda apoyada en el borde de un banco plano. Colocá una barra con almohadilla sobre las caderas. Con los pies firmes en el piso y las rodillas flexionadas a 90 grados, empujá las caderas hacia arriba apretando fuerte los glúteos hasta que el torso quede paralelo al piso y las rodillas formen un ángulo de 90 grados. Bajá controladamente hasta que las caderas casi toquen el piso. No arqueés la espalda en la parte superior. Apretá los glúteos fuerte 2 segundos en cada repetición.","true"
