"exerciseId","exerciseName","type","equipment","muscleGroup","athlete","prompt","imageFile"
"cmt1wclts00149yldci3unc7g","Russian twist","STRENGTH","Peso corporal","Core","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Russian twist"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, strength training exercise, controlled force production, stable stance, focused expression, correct lifting mechanics, show the complete exercise movement and the relevant body position clearly, targeting core muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wclts00149yldci3unc7g.png"
"cmt1wcm3c00189yldiob861cg","Bicicleta estática","CARDIO","Bicicleta","Piernas","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Bicicleta estática"" exactly as a real fitness coach would demonstrate it, riding a stationary exercise bike, dynamic cardiovascular exercise, energetic movement, natural exertion, sweat may be visible, athletic rhythm, show the complete exercise movement and the relevant body position clearly, targeting piernas muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcm3c00189yldiob861cg.png"
"cmt1wcmcv001c9yldhq5jad08","Escaladores","CARDIO","Peso corporal","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Escaladores"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, dynamic cardiovascular exercise, energetic movement, natural exertion, sweat may be visible, athletic rhythm, show the complete exercise movement and the relevant body position clearly, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcmcv001c9yldhq5jad08.png"
"cmt1wcmmh001g9yldfaxhcjkl","Turkish get-up","FUNCTIONAL","Kettlebell","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Turkish get-up"" exactly as a real fitness coach would demonstrate it, holding a kettlebell with a secure grip, functional fitness movement, athletic stance, coordinated full-body movement, controlled power output, show the complete exercise movement and the relevant body position clearly, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcmmh001g9yldfaxhcjkl.png"
"cmt1wcmw3001k9yldt3534hkj","Clean and press","FUNCTIONAL","Barra","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Clean and press"" exactly as a real fitness coach would demonstrate it, holding an Olympic barbell with appropriate weight plates, functional fitness movement, athletic stance, coordinated full-body movement, controlled power output, show the pushing pattern clearly with controlled shoulder and elbow alignment, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcmw3001k9yldt3534hkj.png"
"cmt1wcn5n001o9yldtplepaaj","Farmer walk","FUNCTIONAL","Mancuernas","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Farmer walk"" exactly as a real fitness coach would demonstrate it, holding dumbbells with a secure neutral grip, functional fitness movement, athletic stance, coordinated full-body movement, controlled power output, show the complete exercise movement and the relevant body position clearly, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcn5n001o9yldtplepaaj.png"
"cmt1wcney001s9ylddd50d0ot","Gato-vaca","MOBILITY","Peso corporal","Columna","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Gato-vaca"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, controlled joint mobility exercise, active range of motion, slow precise movement, stable posture, not a passive stretch, show the joint being mobilized clearly and keep the movement active rather than a passive stretch, targeting columna muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, enough space around the athlete to show the complete range of motion, clean fitness studio with open floor space and exercise mat when appropriate, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcney001s9ylddd50d0ot.png"
"cmt1wcnoj001w9yld3kzzr4m2","Movilidad de tobillos","MOBILITY","Peso corporal","Tobillos","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Movilidad de tobillos"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, controlled joint mobility exercise, active range of motion, slow precise movement, stable posture, not a passive stretch, show the joint being mobilized clearly and keep the movement active rather than a passive stretch, targeting tobillos muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, medium-full body framing or close enough framing to clearly show the target joint, never crop the active body part, clean fitness studio with open floor space and exercise mat when appropriate, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcnoj001w9yld3kzzr4m2.png"
"cmt1wcny100209yldz5j5dx4j","Estiramiento de pectorales","STRETCHING","Peso corporal","Pecho","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Estiramiento de pectorales"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, static or dynamic stretching position, relaxed breathing, elongated muscles, calm controlled posture, show the target muscle group clearly and maintain a safe controlled stretch position, targeting pecho muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, enough space around the athlete to show the complete range of motion, clean fitness studio with open floor space and exercise mat when appropriate, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcny100209yldz5j5dx4j.png"
"cmt1wco7p00249yldnnoisjky","Estiramiento de cadera","STRETCHING","Peso corporal","Cadera","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Estiramiento de cadera"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, static or dynamic stretching position, relaxed breathing, elongated muscles, calm controlled posture, show the target muscle group clearly and maintain a safe controlled stretch position, targeting cadera muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, enough space around the athlete to show the complete range of motion, clean fitness studio with open floor space and exercise mat when appropriate, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wco7p00249yldnnoisjky.png"
"cmt1wcohm00289yld4zc70gyf","Cobra","STRETCHING","Peso corporal","Espalda","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Cobra"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, static or dynamic stretching position, relaxed breathing, elongated muscles, calm controlled posture, show the target muscle group clearly and maintain a safe controlled stretch position, targeting espalda muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, enough space around the athlete to show the complete range of motion, clean fitness studio with open floor space and exercise mat when appropriate, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcohm00289yld4zc70gyf.png"
"cmt1wcoru002c9yldg0u7pvfn","Clapping push-ups","PLYOMETRIC","Peso corporal","Pecho","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Clapping push-ups"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, explosive athletic movement, powerful takeoff or landing, dynamic freeze-frame, controlled landing mechanics, show the pushing pattern clearly with controlled shoulder and elbow alignment, targeting pecho muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcoru002c9yldg0u7pvfn.png"
"cmt1wcp1c002g9yldethdhcg5","Skater jumps","PLYOMETRIC","Peso corporal","Piernas","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Skater jumps"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, explosive athletic movement, powerful takeoff or landing, dynamic freeze-frame, controlled landing mechanics, show the complete exercise movement and the relevant body position clearly, targeting piernas muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcp1c002g9yldethdhcg5.png"
"cmt1wcpb3002k9yldkjo1iw1p","Single leg deadlift","BALANCE","Mancuerna","Isquiotibiales","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Single leg deadlift"" exactly as a real fitness coach would demonstrate it, using the specified equipment (Mancuerna) exactly as intended, balance exercise, stable single-leg or unstable-surface position, engaged core, focused concentration, show a clear hip hinge with neutral spine and hips moving backward, make the support foot and balance position clearly visible, targeting isquiotibiales muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcpb3002k9yldkjo1iw1p.png"
"cmt1wcpkw002o9yldpmc6rgsl","Sentadilla con palo","TECHNIQUE","Palo","Piernas","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Sentadilla con palo"" exactly as a real fitness coach would demonstrate it, holding a lightweight PVC pipe or mobility stick, technical movement practice, light resistance or appropriate training aid, slow controlled execution, instructional form, show the lower-body movement clearly with knees tracking naturally over the feet and spine neutral, targeting piernas muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcpkw002o9yldpmc6rgsl.png"
"cmt1wcpuw002s9yldgkq8esur","Overhead squat con palo","TECHNIQUE","Palo","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Overhead squat con palo"" exactly as a real fitness coach would demonstrate it, holding a lightweight PVC pipe or mobility stick, technical movement practice, light resistance or appropriate training aid, slow controlled execution, instructional form, show the lower-body movement clearly with knees tracking naturally over the feet and spine neutral, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcpuw002s9yldgkq8esur.png"
"cmt1wcq4o002w9yld0pso7wjp","Jumping jacks","WARMUP","Peso corporal","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Jumping jacks"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, light dynamic warm-up movement, gradual range of motion, relaxed athletic rhythm, preparing the body for exercise, show the complete exercise movement and the relevant body position clearly, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcq4o002w9yld0pso7wjp.png"
"cmt1wcqeu00309yld5slfrjt0","Trotar en el lugar","WARMUP","Peso corporal","Piernas","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Trotar en el lugar"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, light dynamic warm-up movement, gradual range of motion, relaxed athletic rhythm, preparing the body for exercise, show the complete exercise movement and the relevant body position clearly, targeting piernas muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcqeu00309yld5slfrjt0.png"
"cmt1wcqoy00349yld7q77a4h0","Inchworm","WARMUP","Peso corporal","Full body","Atleta Masculino 30s","Muscular man in his early 30s, short dark hair, clean shaven, wearing black athletic shorts and heather white tank top, athletic build, caucasian, performing the exercise ""Inchworm"" exactly as a real fitness coach would demonstrate it, using bodyweight only, no external equipment, light dynamic warm-up movement, gradual range of motion, relaxed athletic rhythm, preparing the body for exercise, show the complete exercise movement and the relevant body position clearly, targeting full body muscles, correct anatomical form, natural proportions, neutral spine when appropriate, realistic joint alignment, full-body three-quarter view, entire athlete and required equipment visible, modern clean commercial gym, modern clean fitness studio, bright neutral studio lighting with defined natural shadows, professional fitness photography, realistic skin and anatomy, sharp focus on the athlete, subtly blurred background, photorealistic, high detail, 4K quality, no text, no captions, no watermark, no logos, no duplicate limbs, no extra fingers, no deformed hands, no duplicated equipment, no anatomically impossible pose","cmt1wcqoy00349yld7q77a4h0.png"
